Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Gao, Y., Li, R., Zheng, W., Shang, X., Wei, J., Zhang, M., Xu, J., You, W., Chen, Z., Chen, X.","57208176527; 15839850900; 56438456500; 57194690400; 57202578220; 57207741665; 57188624337; 56640723100; 35423403700; 57203357315","Broadband NIR photostimulated luminescence nanoprobes based on CaS:Eu<sup>2+</sup>,Sm<sup>3+</sup> nanocrystals",2019,"Chemical Science",10,"21",,5452,5460,,18,10.1039/c9sc01321k,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066492924&partnerID=40&md5=d619a19ec83a98329d5b0e6d5bfd21e8",Article,Final,Open Access,Scopus,2-s2.0-85066492924
"Lussier, F., Missirlis, D., Spatz, J.P., Masson, J.-F.","56433173900; 8317905900; 7006956973; 35608187400","Machine-Learning-Driven Surface-Enhanced Raman Scattering Optophysiology Reveals Multiplexed Metabolite Gradients Near Cells",2019,"ACS Nano",,"",,,,,33,10.1021/acsnano.8b07024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061915814&partnerID=40&md5=6140432ec3c9b8cd1d49bc51837710d4",Article,Article in Press,,Scopus,2-s2.0-85061915814
"Cao, J.-T., Zhang, W.-S., Wang, H., Ma, S.-H., Liu, Y.-M.","16834584200; 57201801259; 55995824300; 57192673930; 26642952600","A novel fluorescence immunosensor based on Förster resonance energy transfer between nitrogen and sulfur co-doped carbon dot functionalized silica nanospheres and Au@Ag NPs",2019,"New Journal of Chemistry",43,"3",,1424,1430,,3,10.1039/c8nj05349a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060005302&partnerID=40&md5=1a56dc363491c20eb38972fecf960dd8",Article,Final,,Scopus,2-s2.0-85060005302
"Achadu, O.J., Nyokong, T.","56979264100; 7005915604","Fluorescence “turn-ON” nanosensor for cyanide ion using supramolecular hybrid of graphene quantum dots and cobalt pyrene-derivatized phthalocyanine",2019,"Dyes and Pigments",160,"",,328,335,,11,10.1016/j.dyepig.2018.08.038,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052149099&partnerID=40&md5=14dad825794dbc7a5a023cba35fb47e5",Article,Final,,Scopus,2-s2.0-85052149099
"Chen, P., Kuang, W., Zheng, Z., Yang, S., Liu, Y., Su, L., Zhao, K., Liang, G.","57184553600; 57209204710; 57184679100; 31367693000; 7410220892; 57203135977; 36572652900; 12244977600","Carboxylesterase-cleavable biotinylated nanoparticle for tumor-dual targeted imaging",2019,"Theranostics",9,"24",,7359,7369,,10,10.7150/thno.37625,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072756574&partnerID=40&md5=007dc28c1fe25fe20464c2f7ced6eb82",Article,Final,Open Access,Scopus,2-s2.0-85072756574
"Li, L., Liao, M., Chen, Y., Shan, B., Li, M.","57205642786; 57202464072; 57202471617; 57202464349; 57207790043","Surface-enhanced Raman spectroscopy (SERS) nanoprobes for ratiometric detection of cancer cells",2019,"Journal of Materials Chemistry B",7,"5",,815,822,,17,10.1039/c8tb02828a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060923229&partnerID=40&md5=fa88544146e76fd86ba1042e22a6a934",Article,Final,,Scopus,2-s2.0-85060923229
"Mandal, P., Sahoo, D., Sarkar, P., Chakraborty, K., Das, S.","15840138200; 24779115600; 57211425713; 56954539000; 55605761944","Fluorescence turn-on and turn-off sensing of pesticides by carbon dot-based sensor",2019,"New Journal of Chemistry",43,"30",,12137,12151,,7,10.1039/c9nj03192h,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073883356&partnerID=40&md5=fa3be325d3ff01b3a474425cce6159b9",Article,Final,,Scopus,2-s2.0-85073883356
"Pramanik, A., Begum, S., Rightsell, C., Gates, K., Zhang, Q., Jones, S., Gao, Y., Ruppa-Kasani, V., Banerjee, R., Shukla, J., Ignatius, A., Sardar, D., Han, F.X., Chandra Ray, P.","36861611400; 56697929400; 57191755222; 57207244342; 56502545000; 56525754900; 57199737550; 57195576107; 57210963529; 57210959946; 57210958789; 7005088713; 7202398074; 56127957500","Designing highly crystalline multifunctional multicolor-luminescence nanosystem for tracking breast cancer heterogeneity",2019,"Nanoscale Advances",1,"3",,1021,1034,,1,10.1039/c8na00089a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072009632&partnerID=40&md5=32836a9dc9625ed292bcfe409c71326e",Article,Final,Open Access,Scopus,2-s2.0-85072009632
"Guo, Q., Wang, Y., Zhang, L., Zhang, P., Yu, Y., Zhang, Y., Li, C., Jiang, S., Zhang, X.","55776322700; 57215440589; 57211173298; 55547109421; 57194388616; 56644204100; 35229445400; 57205296615; 57216344229","In situ real-time tracing of hierarchical targeting nanostructures in drug resistant tumors using diffuse fluorescence tomography",2019,"Chemical Science",10,"34",,7878,7886,,4,10.1039/c9sc01841g,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071643647&partnerID=40&md5=788b37def6af531004126bf16d3c757f",Article,Final,Open Access,Scopus,2-s2.0-85071643647
"Salehnia, Z., Shahbazi-Gahrouei, D., Akbarzadeh, A., Baradaran, B., Farajnia, S., Naghibi, M.","54780575000; 6507450935; 36787804000; 11640687900; 35268422200; 56850273700","Synthesis and characterisation of iron oxide nanoparticles conjugated with epidermal growth factor receptor (EGFR) monoclonal antibody as MRI contrast agent for cancer detection",2019,"IET Nanobiotechnology",13,"4",,400,406,,8,10.1049/iet-nbt.2018.5285,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066938025&partnerID=40&md5=01f6dfbf6b3ffca31672f28d154c3fb5",Article,Final,,Scopus,2-s2.0-85066938025
"Hsu, W.-H., Shen, Y.-C., Shiao, Y.-J., Kuo, C.-H., Lu, C.-K., Lin, T.-Y., Ku, W.-C., Lin, Y.-L.","56604588000; 7404767907; 7004558945; 15835023800; 8953364000; 57205440840; 7102926852; 25650114900","Combined proteomic and metabolomic analyses of cerebrospinal fluid from mice with ischemic stroke reveals the effects of a Buyang Huanwu decoction in neurodegenerative disease",2019,"PLoS ONE",14,"1", e0209184,,,,4,10.1371/journal.pone.0209184,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060004233&partnerID=40&md5=90f6bbd5ad46d59ef6d09a54f2ceab1c",Article,Final,Open Access,Scopus,2-s2.0-85060004233
"Sun, H., Zhang, B., Jiang, X., Liu, H., Deng, S., Li, Z., Shi, H.","57205168451; 55605768080; 57194654842; 57205165680; 54779540100; 57219047829; 55250447100","Radiolabeled ultra-small Fe <inf>3</inf> O <inf>4</inf> nanoprobes for tumor-targeted multimodal imaging",2019,"Nanomedicine",14,"1",,5,17,,5,10.2217/nnm-2018-0219,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058887919&partnerID=40&md5=9b721ef4a1524b6057aa920c1171fdae",Article,Final,,Scopus,2-s2.0-85058887919
"Chen, Y., Fei, X., Ye, C., Qian, Q., Ye, Z., Xie, S., Chen, J., Zhu, M., Ran, N., Hou, M., Xu, L., Yu, Z.","57210889725; 57210886056; 57210885935; 57210891879; 57210883436; 57210886140; 57210887213; 57208643203; 57210891524; 57204896388; 57210884971; 36895450500","Acute hepatotoxicity of multimodal targeted imaging contrast agent NaLuf<inf>4</inf>:Gd,Yb,Er-PEG/PEI-FA in mice",2019,"Journal of Toxicological Sciences",44,"9",,621,632,,,10.2131/jts.44.621,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071750383&partnerID=40&md5=12bfbd32e46aecb3cd2331aa7e2d150c",Article,Final,Open Access,Scopus,2-s2.0-85071750383
"Zheng, S., Zhang, M., Bai, H., He, M., Dong, L., Cai, L., Zhao, M., Wang, Q., Xu, K., Li, J.","56194472700; 57196347033; 57212242379; 57211639481; 57203878306; 57209640803; 57209641687; 57209985445; 53265624900; 57194789845","Preparation of AS1411 aptamer modified Mn-Mos<inf>2</inf> QDs for targeted MR imaging and fluorescence labelling of renal cell carcinoma",2019,"International Journal of Nanomedicine",14,"",,9513,9524,,6,10.2147/IJN.S215883,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076269242&partnerID=40&md5=bc133a23e2021a88202123eaf1783a4b",Article,Final,Open Access,Scopus,2-s2.0-85076269242
"Quintanilla, M., García, I., De Lázaro, I., García-Alvarez, R., Henriksen-Lacey, M., Vranic, S., Kostarelos, K., Liz-Marzán, L.M.","23036637400; 7201765477; 55888887600; 57200332242; 35744740800; 55540295900; 56134375900; 57195195158","Thermal monitoring during photothermia: Hybrid probes for simultaneous plasmonic heating and near-infrared optical nanothermometry",2019,"Theranostics",9,"24",,7298,7312,,9,10.7150/thno.38091,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072756914&partnerID=40&md5=af705fac3d1b3dd5cd7535664f2aa8b2",Article,Final,Open Access,Scopus,2-s2.0-85072756914
"Zhang, A., Pan, S., Zhang, Y., Chang, J., Cheng, J., Huang, Z., Li, T., Zhang, C., De La Fuentea, J.M., Zhang, Q., Cui, D.","56368303300; 57207584222; 57205268213; 57193766861; 57200189603; 57205595361; 57195972319; 55703907200; 57204268852; 56381696900; 35263676000","Carbon-gold hybrid nanoprobes for real-time imaging, photothermal/photodynamic and nanozyme oxidative therapy",2019,"Theranostics",9,"12",,3443,3458,,35,10.7150/thno.33266,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067021458&partnerID=40&md5=9fe5017bd0f87e68b10e69215b5eb54d",Article,Final,Open Access,Scopus,2-s2.0-85067021458
